experiment_id,timestamp,run_id,image_name,image_size,image_dimensions,payload_size_bytes,method_name,color_channels,theoretical_capacity_bytes,capacity_utilization_ratio,success,error,processing_stages,actual_image_shape,image_size_bytes,actual_message_size,message_entropy,compressed_size_bytes,tree_size_bytes,total_payload_size,compression_ratio,compression_efficiency,encrypted_size_bytes,encryption_overhead,total_embedded_size,embedding_rate,psnr_db,mse,max_pixel_error,message_integrity,bit_error_rate,character_accuracy,total_time,psnr_per_channel,psnr_std
20260116_212128,2026-01-16T21:21:54.999415,lena_256_10_DWT_DCT_grayscale,lena,256,256x256,10,DWT_DCT_grayscale,1,7372,0.0013564839934888768,True,,"{'image_loading': 0.0072479248046875, 'message_generation': 0.0, 'compression': 0.00038361549377441406, 'encryption': 0.1265733242034912, 'embedding': 0.12098169326782227, 'quality_analysis': 0.002012491226196289, 'extraction': 0.03546762466430664, 'decryption_decompression': 0.11572813987731934}","(256, 256)",65536,10,3.121928094887362,5,448,457,0.02188183807439825,-44.7,528,103,560,0.008544921875,48.707316342349046,0.8756866455078125,4.0,True,0.0,1.0,0.40839481353759766,,
20260116_212128,2026-01-16T21:21:55.407810,lena_256_25_DWT_DCT_grayscale,lena,256,256x256,25,DWT_DCT_grayscale,1,7372,0.003391209983722192,True,,"{'image_loading': 0.0029730796813964844, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.11796689033508301, 'embedding': 0.04673004150390625, 'quality_analysis': 0.0, 'extraction': 0.04121088981628418, 'decryption_decompression': 0.11097836494445801}","(256, 256)",65536,25,3.753269689515107,13,718,735,0.034013605442176874,-28.4,848,145,880,0.013427734375,46.66485859176903,1.4015045166015625,4.0,True,0.0,1.0,0.31985926628112793,,
20260116_212128,2026-01-16T21:21:55.727669,lena_256_50_DWT_DCT_grayscale,lena,256,256x256,50,DWT_DCT_grayscale,1,7372,0.006782419967444384,True,,"{'image_loading': 0.004054546356201172, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.10738062858581543, 'embedding': 0.06470918655395508, 'quality_analysis': 0.002033233642578125, 'extraction': 0.0516204833984375, 'decryption_decompression': 0.11344599723815918}","(256, 256)",65536,50,4.063144940981576,27,943,974,0.0513347022587269,-18.48,1136,194,1168,0.017822265625,45.535464408711206,1.8177490234375,4.0,True,0.0,1.0,0.3432440757751465,,
20260116_212128,2026-01-16T21:21:56.070913,lena_256_100_DWT_DCT_grayscale,lena,256,256x256,100,DWT_DCT_grayscale,1,7372,0.013564839934888768,True,,"{'image_loading': 0.0, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.11045646667480469, 'embedding': 0.05774879455566406, 'quality_analysis': 0.0, 'extraction': 0.04808545112609863, 'decryption_decompression': 0.11723828315734863}","(256, 256)",65536,100,4.172990526954634,54,1078,1136,0.0880281690140845,-10.36,1328,224,1360,0.020751953125,44.90326832351104,2.1025848388671875,4.0,True,0.0,1.0,0.333528995513916,,
20260116_212128,2026-01-16T21:21:56.405910,lena_256_250_DWT_DCT_grayscale,lena,256,256x256,250,DWT_DCT_grayscale,1,7372,0.03391209983722192,False,Decryption failed: Padding is incorrect.,"{'image_loading': 0.0018503665924072266, 'message_generation': 0.0, 'compression': 0.002012491226196289, 'encryption': 0.09994173049926758, 'embedding': 0.08490467071533203, 'quality_analysis': 0.002012014389038086, 'extraction': 0.05912303924560547}","(256, 256)",65536,250,4.410014710941875,140,1393,1537,0.16265452179570591,-5.148,1824,319,1856,0.0283203125,43.56255698297696,2.8630218505859375,5.0,,,,0.34984564781188965,,
20260116_212128,2026-01-16T21:21:56.755755,lena_256_500_DWT_DCT_grayscale,lena,256,256x256,500,DWT_DCT_grayscale,1,7372,0.06782419967444384,False,Decryption failed: PKCS#7 padding is incorrect.,"{'image_loading': 0.008046388626098633, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.10629844665527344, 'embedding': 0.08242082595825195, 'quality_analysis': 0.001691579818725586, 'extraction': 0.06366515159606934}","(256, 256)",65536,500,4.397582645859516,278,1395,1677,0.2981514609421586,-2.354,2032,387,2064,0.031494140625,43.14938981406315,3.148773193359375,7.0,,,,0.36547088623046875,,
20260116_212128,2026-01-16T21:21:57.121226,lena_256_1000_DWT_DCT_grayscale,lena,256,256x256,1000,DWT_DCT_grayscale,1,7372,0.13564839934888767,False,Decryption failed: Padding is incorrect.,"{'image_loading': 0.0, 'message_generation': 0.0, 'compression': 0.0050203800201416016, 'encryption': 0.11114048957824707, 'embedding': 0.10314249992370605, 'quality_analysis': 0.0, 'extraction': 0.08757758140563965}","(256, 256)",65536,1000,4.408307615031233,556,1398,1958,0.5107252298263534,-0.958,2480,554,2512,0.038330078125,42.29400639775716,3.8342437744140625,7.0,,,,0.418804407119751,,
20260116_212128,2026-01-16T21:21:57.541265,lena_256_2500_DWT_DCT_grayscale,lena,256,256x256,2500,DWT_DCT_grayscale,1,7372,0.3391209983722192,False,Decryption failed: Padding is incorrect.,"{'image_loading': 0.003093719482421875, 'message_generation': 0.001031637191772461, 'compression': 0.0, 'encryption': 0.10478019714355469, 'embedding': 0.13009953498840332, 'quality_analysis': 0.0, 'extraction': 0.11215019226074219}","(256, 256)",65536,2500,4.419990944489446,1391,1407,2802,0.8922198429693077,-0.12080000000000002,3776,1006,3808,0.05810546875,40.48586303718926,5.8142547607421875,8.0,,,,0.4632084369659424,,
20260116_212128,2026-01-16T21:21:58.004813,lena_256_5000_DWT_DCT_grayscale,lena,256,256x256,5000,DWT_DCT_grayscale,1,7372,0.6782419967444384,False,Decryption failed: Padding is incorrect.,"{'image_loading': 0.0008747577667236328, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.11393284797668457, 'embedding': 0.20343756675720215, 'quality_analysis': 0.002703428268432617, 'extraction': 0.1471560001373291}","(256, 256)",65536,5000,4.420564542645487,2780,1419,4203,1.1896264572924102,0.1594,5920,1749,5952,0.0908203125,38.57722300102074,9.023147583007812,11.0,,,,0.5683510303497314,,
20260116_212128,2026-01-16T21:21:58.573164,lena_256_10_DWT_DCT_color,lena,256,256x256,10,DWT_DCT_color,3,22118,0.0004521204448865178,True,,"{'image_loading': 0.010077953338623047, 'message_generation': 0.0, 'compression': 0.0, 'encryption': 0.11046719551086426, 'embedding': 0.033463239669799805, 'quality_analysis': 0.0, 'extraction': 0.03447151184082031, 'decryption_decompression': 0.1097259521484375}","(256, 256, 3)",196608,10,3.121928094887362,5,448,457,0.02188183807439825,-44.7,528,103,560,0.0028483072916666665,52.297764243883414,0.3837687174479167,4.0,True,0.0,1.0,0.2982058525085449,"[52.134359194261386, 52.09455950541426, 52.66437403197459]",0.2597409688532987
